"Data Source","World Development Indicators",

"Last Updated Date","2015-10-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86831939212055","7.23496401714239","10.0265075232903","10.6347325992922","29.6201647679732","29.8476084366247","25.258151974793","24.4304808408508","22.9964406779661","22.1866145457262","21.6418895366308","21.5006612285978","19.6215339841423","19.6525886477012","25.5476787954831","25.3824897194652","24.9755145007632","24.9090656084111","24.5105426262381","24.9645309953914","24.7667063373996","25.613714951886","24.7501332122911","24.8767058452315","24.182702245145","23.9224121017109","","","","",
"Andorra","AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.37449494158549","6.61635376646809","7.14569660311472","7.57644628099174","8.00143389286327","8.018180706127","7.73765678028626","7.48409481181207","7.15914044635813","7.2088285229202","7.08812774706672","6.5534765451645","6.35086830509673","6.29612455615773","6.04917284788357","6.12477049005556","5.96868546996089","","","","",
"Afghanistan","AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0460678750472635","0.053614942588308","0.0737813379864149","0.0742513682185121","0.0863165425400968","0.101498607297291","0.10767396986513","0.123782381420828","0.115547383485899","0.0868628168461064","0.150358548261921","0.166114845751107","0.130820142126379","0.136339953523864","0.155725122534084","0.169027082193895","0.154895026334307","0.183118307595321","0.163346970897513","0.168673487924179","0.133230270920323","0.152639744037877","0.165879121664236","0.20546269900184","0.237642948463422","0.301734199171867","0.274729697632186","0.275560305000947","0.252079156325973","0.239131208213811","0.221826763797517","0.194971231586472","0.103775745455101","0.0927611026464462","0.0831835378107592","0.0756464650933235","0.0685918498095162","0.0618143486821932","0.0570508678938691","0.0437225883240311","0.0396443700468076","0.0314347557566158","0.0416412114461905","0.0461076124049689","0.0407273663448916","0.0548548300184902","0.0658159680411251","0.0881410538805383","0.158961557957085","0.249073529591755","0.30293638839023","0.425262104940417","","","","",
"Angola","AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.10435710106389","0.0847184061519349","0.21602534255535","0.206877060796923","0.21617413273309","0.206088958851002","0.265164145789731","0.166658588848149","0.275655471214261","0.451125604452011","0.568588577407697","0.529744961084372","0.684120293634434","0.72305504343195","0.703873436197644","0.62119889117354","0.450116911989137","0.471248793545669","0.701359921079561","0.692097154214032","0.651061684496374","0.621382804088045","0.527930762731946","0.560374447276187","0.53035103110477","0.48240053137906","0.464973712301845","0.565431153429145","0.486503528149711","0.462907836915506","0.398075822237319","0.380694834361372","0.372921412331923","0.473691138230063","0.307601077536334","0.84430598774821","0.781484777478837","0.534831299647265","0.515117027342679","0.627072295591633","0.633625298649187","0.625351712298906","0.786223278204629","0.543083666763623","1.0866048972276","1.06941718451386","1.20087714742312","1.31109648310951","1.36942476939738","1.43087337329642","1.4016541694671","1.35400752956755","","","","",
"Albania","ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","1.25819492789657","1.37418604651163","1.43995596379167","1.18168114415975","1.11174195966673","1.16609904273455","1.33305546458662","1.36374630010816","1.51955127697956","1.5589675720987","1.75323990542637","1.98949792330655","2.51591439803203","2.30389741687392","1.84900669071079","1.91063363704144","2.01358456245734","2.27587639136105","2.53062504042839","2.89820851758249","1.93505831031996","2.69302391440235","2.62485678513424","2.6832399189862","2.69429137362284","2.65801538201043","2.66535622064854","2.41406081518223","2.33159853051997","2.78324307461439","2.27838682724882","1.21567685709825","0.735198129742205","0.72606278896175","0.60134695292586","0.654537133005248","0.636625312930768","0.490365059535664","0.560271437384331","0.960164411868586","0.978174680894664","1.05330417594038","1.22954070946998","1.4126971959616","1.37621273504355","1.41249821101668","1.29154796900433","1.50753581545156","1.58011328280597","1.53317809380571","1.51563205345928","1.60703771025689","","","","",
"Arab World","ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.643963547887705","0.685500881815238","0.761148198659712","0.875124288095186","0.999248141096507","1.16607518820665","1.27361759934634","1.33330536441291","1.54840356399428","1.79544563024165","1.80827067264931","2.00295146730493","2.12149452127734","2.41152870680884","2.28850349454314","2.19942946400747","2.58691023790059","2.6502249371301","2.76245598797314","2.86268705644457","3.09155162088256","2.92941160903571","2.72333073190486","2.81811275768597","2.98526952988633","3.06695923904397","3.29071772588335","3.2052265285339","3.30433871256284","3.26832095247881","3.20390720499559","3.28409368014573","3.48391715220611","3.71532824348043","3.73503093020673","3.47329138079086","3.36440226520564","3.16802746860568","3.36049816571551","3.33970090248172","3.71740279621914","3.58343294261398","3.57992168956555","3.79779957352362","4.0942688415581","4.20678891094678","4.28559479253471","4.1811534817636","4.37357334728226","4.57525128980061","4.76491188011468","4.72449969733611","","","","",
"United Arab Emirates","ARE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.118785902474841","0.108936970837253","0.163355310049893","0.175712369026323","0.132650846476631","0.146369696243963","0.159358567641563","5.33673689174006","6.7082164134001","99.8404387799776","64.7628889625118","76.9888755633086","72.3738833396591","80.0120447308547","69.3158969615974","58.4839788053043","63.7427976162726","53.6569311156272","54.1633212230207","39.4775612717742","36.2953257755542","33.7176354029062","31.8277229500456","29.0115569973642","36.2381326555639","36.9705161233471","33.0185544280933","31.3978173669232","29.9693971884325","31.8249004010824","28.7111602918754","29.7988432931387","28.7945591263855","31.0077909151106","32.6728328570005","30.0575816784331","16.6385567117257","16.0472403110334","29.8106307406987","27.1739536396379","36.904101073791","31.5160990283931","24.9565514457611","29.4670889001538","28.4814369917089","25.9145872267054","23.9545191641101","23.1950669705995","23.0336004679324","21.102295616996","20.120957282549","20.4338376195602","","","","",
"Argentina","ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","2.36747303164667","2.44261566522037","2.52239210450438","2.31635579664918","2.53837965018193","2.64171446273276","2.79265392283792","2.85816254619432","2.96985521815595","3.27585030105915","3.45115922196339","3.65007816898339","3.63785836633653","3.73079111779821","3.72669911156406","3.64182249762391","3.76877393124555","3.74987111478078","3.7627502305726","3.99873369712254","3.86885292971875","3.57496761243926","3.56708654335214","3.57204197260074","3.56014217750819","3.31032728821864","3.37724521848064","3.66916872512268","3.82044580815879","3.62920212863063","3.44071080308001","3.52538368472299","3.60858224101162","3.47716047580317","3.56936567776818","3.50187484901336","3.6481903578866","3.7583870219218","3.79878183008477","3.9698758629858","3.80697572496415","3.53953268794566","3.25331267076162","3.47503504028703","4.03240701268705","4.11163482404653","4.40452504186811","4.49683365506291","4.74417840089585","4.42796011269101","4.34227205162182","4.56204851225823","","","","",
"Armenia","ARM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17467416263878","0.859706564999037","0.901718661995056","1.08308924156414","0.821584565571898","1.04482523874541","1.09434274410384","0.988511936699614","1.12652945387306","1.1576079497104","0.998805808123983","1.12917350037215","1.2045669802398","1.44373095511419","1.45963690821378","1.69475525891389","1.8686110286656","1.46996097242582","1.42299837759187","1.67165692267883","","","","",
"American Samoa","ASM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
